id,species_guess,square_url,medium_url,taxon_rank,taxon_name,preferred_common_name,all
188862491,Borboleta-carteiro,https://static.inaturalist.org/photos/330679490/square.jpg,https://static.inaturalist.org/photos/330679490/medium.jpg,species,Heliconius melpomene,postman,
163448200,postman,https://inaturalist-open-data.s3.amazonaws.com/photos/282700998/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/282700998/medium.jpeg,species,Heliconius melpomene,postman,
117599476,Heliconius melpomene ecuadorensis,https://static.inaturalist.org/photos/198626178/square.jpeg,https://static.inaturalist.org/photos/198626178/medium.jpeg,species,Heliconius melpomene,postman,
26130378,Heliconius melpomene cythera,https://inaturalist-open-data.s3.amazonaws.com/photos/40544729/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/40544729/medium.jpeg,species,Heliconius melpomene,postman,
101226538,Heliconius melpomene plesseni,https://inaturalist-open-data.s3.amazonaws.com/photos/169023221/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/169023221/medium.jpg,species,Heliconius melpomene,postman,
129608332,postman,https://inaturalist-open-data.s3.amazonaws.com/photos/220281033/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/220281033/medium.jpg,species,Heliconius melpomene,postman,
100390039,Heliconius melpomene ecuadorensis,https://inaturalist-open-data.s3.amazonaws.com/photos/167544798/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/167544798/medium.jpeg,species,Heliconius melpomene,postman,
152502035,postman,https://static.inaturalist.org/photos/263270978/square.jpeg,https://static.inaturalist.org/photos/263270978/medium.jpeg,species,Heliconius melpomene,postman,
86622037,Heliconius melpomene,https://static.inaturalist.org/photos/142731285/square.jpeg,https://static.inaturalist.org/photos/142731285/medium.jpeg,species,Heliconius melpomene,postman,
130155284,postman,https://static.inaturalist.org/photos/221298228/square.jpeg,https://static.inaturalist.org/photos/221298228/medium.jpeg,species,Heliconius melpomene,postman,
9211009,Mariposa de bandas carmesí,https://static.inaturalist.org/photos/12458477/square.jpg,https://static.inaturalist.org/photos/12458477/medium.jpg,subspecies,Heliconius erato phyllis,,
14803608,Heliconius erato phyllis,https://static.inaturalist.org/photos/22098234/square.jpg,https://static.inaturalist.org/photos/22098234/medium.jpg,subspecies,Heliconius erato phyllis,,
20012102,Heliconius erato phyllis,https://inaturalist-open-data.s3.amazonaws.com/photos/30888215/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/30888215/medium.jpg,subspecies,Heliconius erato phyllis,,
93182621,Mariposa de Bandas Carmesí,https://inaturalist-open-data.s3.amazonaws.com/photos/154402313/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/154402313/medium.jpeg,subspecies,Heliconius erato phyllis,,
56989132,Mariposa de Bandas Carmesí,https://inaturalist-open-data.s3.amazonaws.com/photos/90863371/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/90863371/medium.jpeg,subspecies,Heliconius erato phyllis,,
90839002,Mariposa de alas largas de bandas carmesí,https://inaturalist-open-data.s3.amazonaws.com/photos/150170558/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/150170558/medium.jpeg,subspecies,Heliconius erato phyllis,,
33175366,Heliconius erato cyrbia,https://inaturalist-open-data.s3.amazonaws.com/photos/52082957/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/52082957/medium.jpg,subspecies,Heliconius erato phyllis,,
7051507,Heliconius erato phyllis,https://static.inaturalist.org/photos/9050163/square.jpg,https://static.inaturalist.org/photos/9050163/medium.jpg,subspecies,Heliconius erato phyllis,,
4611620,Mariposa de Bandas Carmesí,https://inaturalist-open-data.s3.amazonaws.com/photos/5578305/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/5578305/medium.jpg,subspecies,Heliconius erato phyllis,,
31895630,Mariposa naranja,https://inaturalist-open-data.s3.amazonaws.com/photos/49969332/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/49969332/medium.jpeg,subspecies,Heliconius erato phyllis,,
